:START_ID,score,associationType,:END_ID,:TYPE
AGXT,0.738144292485995,Biomarker; GeneticVariation,umls:C0268164,AFFECTS
DYSF,0.737860787915901,Biomarker; GeneticVariation,umls:C1850808,AFFECTS
TBX1,0.737802859783674,Biomarker; GeneticVariation,umls:C0012236,AFFECTS
SOX9,0.737548319279694,AlteredExpression; Biomarker; GeneticVariation,umls:C1861922,AFFECTS
SLC26A4,0.737342809734312,Biomarker; GeneticVariation,umls:C1863752,AFFECTS
FGFR3,0.73701027420562,Biomarker; GeneticVariation,umls:C1868678,AFFECTS
TOR1A,0.736443265065433,Biomarker; GeneticVariation,umls:C1851945,AFFECTS
COL4A5,0.736159760495339,Biomarker; GeneticVariation,umls:C1567742,AFFECTS
GNE,0.736159760495339,Biomarker; GeneticVariation,umls:C1853926,AFFECTS
TBX5,0.735407308702254,Biomarker; GeneticVariation,umls:C0265264,AFFECTS
IRF6,0.735358277743656,Biomarker; GeneticVariation,umls:C0175697,AFFECTS
PDGFRA,0.735347648398811,AlteredExpression; Biomarker; GeneticVariation,umls:C0238198,AFFECTS
G6PC,0.734762304537355,Biomarker; GeneticVariation,umls:C0017920,AFFECTS
GUSB,0.734742237644871,Biomarker; GeneticVariation,umls:C0085132,AFFECTS
UROS,0.734713273578757,Biomarker; GeneticVariation,umls:C0162530,AFFECTS
HRAS,0.734175228504683,Biomarker; GeneticVariation,umls:C0587248,AFFECTS
MYH9,0.73389172393459,Biomarker; GeneticVariation,umls:C1854520,AFFECTS
ASS1,0.733862759868476,Biomarker; GeneticVariation,umls:C0175683,AFFECTS
FGFR2,0.733862759868476,Biomarker; GeneticVariation,umls:C0010273,AFFECTS
BTD,0.733853862694847,Biomarker; GeneticVariation,umls:C0220754,AFFECTS
HGD,0.733833795802362,Biomarker; GeneticVariation,umls:C0002066,AFFECTS
GJA1,0.733608219364496,Biomarker; GeneticVariation,umls:C0812437,AFFECTS
CAPN3,0.733608219364496,Biomarker; GeneticVariation,umls:C1869123,AFFECTS
TYR,0.733324714794402,Biomarker; GeneticVariation,umls:C0268494,AFFECTS
BMPR1A,0.733139272141505,Biomarker; GeneticVariation,umls:C0345893,AFFECTS
GJB1,0.733041210224309,Biomarker; GeneticVariation,umls:C0393808,AFFECTS
LCAT,0.7327777725467,Biomarker; GeneticVariation,umls:C0023195,AFFECTS
PORCN,0.732670813455874,Biomarker; GeneticVariation,umls:C0016395,AFFECTS
WT1,0.732494267976606,Biomarker; GeneticVariation,umls:C0950121,AFFECTS
GBE1,0.732416272951894,Biomarker; GeneticVariation,umls:C0017923,AFFECTS
KCNQ1,0.7321327683818,Biomarker; GeneticVariation,umls:C0035828,AFFECTS
DYSF,0.73162368737384,Biomarker; GeneticVariation,umls:C1850889,AFFECTS
RET,0.731124532450879,Biomarker; GeneticVariation,umls:C0025268,AFFECTS
NDP,0.730587731010662,Biomarker; GeneticVariation,umls:C0266526,AFFECTS
FBN2,0.730538700052064,Biomarker; GeneticVariation,umls:C0220668,AFFECTS
AGA,0.730489669093466,Biomarker; GeneticVariation,umls:C0268225,AFFECTS
CSTB,0.730206164523372,Biomarker; GeneticVariation,umls:C0751785,AFFECTS
SH3BP2,0.729893695887165,Biomarker; GeneticVariation,umls:C0008029,AFFECTS
GPC3,0.729639155383185,Biomarker; GeneticVariation,umls:C0796154,AFFECTS
FGF23,0.729639155383185,Biomarker; GeneticVariation,umls:C0342642,AFFECTS
ATRX,0.729355650813091,Biomarker; GeneticVariation,umls:C1845055,AFFECTS
PAX2,0.729355650813091,Biomarker; GeneticVariation,umls:C1852759,AFFECTS
SCN4A,0.729326686746977,Biomarker; GeneticVariation,umls:C0238357,AFFECTS
XPC,0.729072146242997,Biomarker; GeneticVariation,umls:C2752147,AFFECTS
MTM1,0.729072146242997,Biomarker; GeneticVariation,umls:C0410203,AFFECTS
UMOD,0.728788641672904,Biomarker; GeneticVariation,umls:C0268113,AFFECTS
VCP,0.728788641672904,Biomarker; GeneticVariation,umls:C1833662,AFFECTS
BBS1,0.72875967760679,Biomarker; GeneticVariation,umls:C0752166,AFFECTS
TBX3,0.72850513710281,Biomarker; GeneticVariation,umls:C1866994,AFFECTS
INS,0.72850513710281,Biomarker; GeneticVariation,umls:C1833104,AFFECTS
KCNJ11,0.72850513710281,Biomarker; GeneticVariation,umls:C1833104,AFFECTS
FLCN,0.72850513710281,Biomarker; GeneticVariation,umls:C0346010,AFFECTS
SERPINC1,0.728319694449913,Biomarker; GeneticVariation,umls:C0272375,AFFECTS
FOXL2,0.728270663491315,Biomarker; GeneticVariation,umls:C0220663,AFFECTS
ND6,0.728085220838417,Biomarker; GeneticVariation,umls:C0917796,AFFECTS
CTSK,0.727938127962623,Biomarker; GeneticVariation,umls:C0238402,AFFECTS
PEX1,0.727880199830395,Biomarker; GeneticVariation,umls:C0043459,AFFECTS
PLA2G6,0.727654623392529,Biomarker; GeneticVariation,umls:C0270724,AFFECTS
ZEB2,0.727371118822435,Biomarker; GeneticVariation,umls:C1856113,AFFECTS
LGI1,0.727087614252342,Biomarker; GeneticVariation,umls:C1838062,AFFECTS
NLRP3,0.727087614252342,Biomarker; GeneticVariation,umls:C0343068,AFFECTS
NLRP3,0.727087614252342,Biomarker; GeneticVariation,umls:C0268390,AFFECTS
FERMT1,0.727087614252342,Biomarker; GeneticVariation,umls:C0406557,AFFECTS
TP63,0.727087614252342,Biomarker; GeneticVariation,umls:C0406709,AFFECTS
GLI3,0.726804109682248,Biomarker; GeneticVariation,umls:C0265306,AFFECTS
BRAF,0.726804109682248,Biomarker; GeneticVariation,umls:C1275081,AFFECTS
CTSA,0.726520605112154,Biomarker; GeneticVariation,umls:C0268233,AFFECTS
DNAI1,0.726286131500659,Biomarker; GeneticVariation,umls:C0022521,AFFECTS
KIT,0.726237100542061,Biomarker; GeneticVariation,umls:C0080024,AFFECTS
SMARCAL1,0.726237100542061,AlteredExpression; Biomarker; GeneticVariation,umls:C0877024,AFFECTS
NR2E3,0.726237100542061,Biomarker; GeneticVariation,umls:C1849394,AFFECTS
GATA3,0.725953595971967,Biomarker; GeneticVariation,umls:C1840333,AFFECTS
TTPA,0.725953595971967,Biomarker; GeneticVariation,umls:C1848533,AFFECTS
ABHD5,0.725953595971967,Biomarker; GeneticVariation,umls:C0268238,AFFECTS
EIF2AK3,0.725953595971967,Biomarker; GeneticVariation,umls:C0432217,AFFECTS
L1CAM,0.725670091401873,Biomarker; GeneticVariation,umls:C0795953,AFFECTS
CACNA1S,0.725670091401873,Biomarker; GeneticVariation,umls:C3714580,AFFECTS
TREX1,0.725670091401873,Biomarker; GeneticVariation,umls:C0796126,AFFECTS
ERCC2,0.72538658683178,Biomarker; GeneticVariation,umls:C0268138,AFFECTS
SPTLC1,0.725103082261686,Biomarker; GeneticVariation,umls:C0020071,AFFECTS
CYP27B1,0.725103082261686,Biomarker; GeneticVariation,umls:C0268689,AFFECTS
ANK1,0.725103082261686,Biomarker; GeneticVariation,umls:C2674218,AFFECTS
GPR143,0.725103082261686,Biomarker; GeneticVariation,umls:C0342684,AFFECTS
VPS13A,0.725103082261686,Biomarker; GeneticVariation,umls:C0393576,AFFECTS
LBR,0.725074118195572,Biomarker; GeneticVariation,umls:C0030779,AFFECTS
HNF4A,0.724961370380439,Biomarker; GeneticVariation,umls:C0011860,AFFECTS
FTL,0.724819577691592,Biomarker; GeneticVariation,umls:C1853578,AFFECTS
HNF1A,0.724819577691592,Biomarker; GeneticVariation,umls:C1838100,AFFECTS
SLC16A2,0.724819577691592,Biomarker; GeneticVariation,umls:C0795889,AFFECTS
SMPD1,0.724790613625479,Biomarker; GeneticVariation,umls:C0268243,AFFECTS
MITF,0.724536073121499,Biomarker; GeneticVariation,umls:C1860339,AFFECTS
LRP5,0.724536073121499,Biomarker; GeneticVariation,umls:C0432252,AFFECTS
GJB3,0.724536073121499,Biomarker; GeneticVariation,umls:C0265961,AFFECTS
COL6A1,0.724536073121499,Biomarker; GeneticVariation,umls:C1834674,AFFECTS
KCNA1,0.724536073121499,Biomarker; GeneticVariation,umls:C1719788,AFFECTS
CACNA1C,0.724536073121499,Biomarker; GeneticVariation,umls:C1832916,AFFECTS
SLC5A1,0.724252568551405,Biomarker; GeneticVariation,umls:C0268186,AFFECTS
EFNB1,0.724252568551405,Biomarker; GeneticVariation,umls:C0220767,AFFECTS
SLC39A4,0.724252568551405,Biomarker; GeneticVariation,umls:C0221036,AFFECTS
FOXC2,0.724252568551405,Biomarker; GeneticVariation,umls:C0265345,AFFECTS
GAN,0.724252568551405,Biomarker; GeneticVariation,umls:C1850386,AFFECTS
MEN1,0.723969063981311,Biomarker; GeneticVariation,umls:C1840402,AFFECTS
SLC22A5,0.723969063981311,Biomarker; GeneticVariation,umls:C0342788,AFFECTS
ITGB4,0.723969063981311,Biomarker; GeneticVariation,umls:C1856934,AFFECTS
EVC,0.723940099915198,Biomarker; GeneticVariation,umls:C0013903,AFFECTS
MAN2B1,0.723685559411218,Biomarker; GeneticVariation,umls:C0024748,AFFECTS
SLC37A4,0.723685559411218,Biomarker; GeneticVariation,umls:C0268146,AFFECTS
CACNA1F,0.723685559411218,Biomarker; GeneticVariation,umls:C1848172,AFFECTS
BEST1,0.723685559411218,Biomarker; GeneticVariation,umls:C2678493,AFFECTS
CD36,0.723685559411218,Biomarker; GeneticVariation,umls:C1842090,AFFECTS
DES,0.723685559411218,Biomarker; GeneticVariation,umls:C1832370,AFFECTS
SLC6A8,0.723685559411218,Biomarker; GeneticVariation,umls:C1845862,AFFECTS
STAR,0.723685559411218,Biomarker; GeneticVariation,umls:C0342474,AFFECTS
SEPN1,0.723685559411218,Biomarker; GeneticVariation,umls:C0410180,AFFECTS
ARG1,0.723402054841124,Biomarker; GeneticVariation,umls:C0268548,AFFECTS
COL6A3,0.723402054841124,Biomarker; GeneticVariation,umls:C0410179,AFFECTS
LAMA2,0.723402054841124,Biomarker; GeneticVariation,umls:C1263858,AFFECTS
TPMT,0.723402054841124,Biomarker; GeneticVariation,umls:C0342801,AFFECTS
CLRN1,0.723402054841124,Biomarker; GeneticVariation,umls:C1568248,AFFECTS
FREM2,0.723402054841124,Biomarker; GeneticVariation,umls:C0265233,AFFECTS
PFKM,0.723167581229628,Biomarker; GeneticVariation,umls:C0017926,AFFECTS
IRF6,0.72311855027103,Biomarker; GeneticVariation,umls:C0265259,AFFECTS
PRODH,0.72311855027103,Biomarker; GeneticVariation,umls:C0268529,AFFECTS
KCNQ3,0.72311855027103,Biomarker; GeneticVariation,umls:C1852581,AFFECTS
ETHE1,0.72311855027103,Biomarker; GeneticVariation,umls:C1865349,AFFECTS
FLNA,0.72311855027103,Biomarker; GeneticVariation,umls:C1848213,AFFECTS
HOXA13,0.72311855027103,Biomarker; GeneticVariation,umls:C1841679,AFFECTS
HCCS,0.72311855027103,Biomarker; GeneticVariation,umls:C0796070,AFFECTS
LAMB2,0.72311855027103,Biomarker; GeneticVariation,umls:C1836876,AFFECTS
OCA2,0.72311855027103,Biomarker; GeneticVariation,umls:C0268495,AFFECTS
SGCG,0.72311855027103,Biomarker; GeneticVariation,umls:C0410173,AFFECTS
LDLRAP1,0.72311855027103,Biomarker; GeneticVariation,umls:C1863512,AFFECTS
PSTPIP1,0.722835045700937,Biomarker; GeneticVariation,umls:C1858361,AFFECTS
ASL,0.722835045700937,Biomarker; GeneticVariation,umls:C0268547,AFFECTS
FGFR3,0.722835045700937,Biomarker; GeneticVariation,umls:C1300257,AFFECTS
PAX6,0.722835045700937,Biomarker; GeneticVariation,umls:C0344559,AFFECTS
MSX2,0.722835045700937,Biomarker; GeneticVariation,umls:C1858160,AFFECTS
EFEMP1,0.722835045700937,Biomarker; GeneticVariation,umls:C1832174,AFFECTS
SLC6A19,0.722835045700937,Biomarker; GeneticVariation,umls:C0018609,AFFECTS
TBX22,0.722835045700937,Biomarker; GeneticVariation,umls:C1844830,AFFECTS
EGR2,0.722551541130843,Biomarker; GeneticVariation,umls:C0393818,AFFECTS
ACADS,0.722551541130843,Biomarker; GeneticVariation,umls:C0342783,AFFECTS
FLNA,0.722551541130843,Biomarker; GeneticVariation,umls:C1844696,AFFECTS
GDF5,0.722551541130843,Biomarker; GeneticVariation,umls:C1862103,AFFECTS
TRIM32,0.722551541130843,Biomarker; GeneticVariation,umls:C0270968,AFFECTS
SPRED1,0.722551541130843,Biomarker; GeneticVariation,umls:C1969623,AFFECTS
SUMF1,0.722551541130843,Biomarker; GeneticVariation,umls:C0268263,AFFECTS
TFR2,0.722551541130843,Biomarker; GeneticVariation,umls:C1858664,AFFECTS
VANGL2,0.722317067519347,Biomarker; GeneticVariation,umls:C0027794,AFFECTS
SLC19A2,0.722268036560749,Biomarker; GeneticVariation,umls:C0342287,AFFECTS
PLG,0.722268036560749,Biomarker; GeneticVariation,umls:C1968804,AFFECTS
COL1A1,0.722268036560749,Biomarker; GeneticVariation,umls:C0268362,AFFECTS
SMPD1,0.722268036560749,Biomarker; GeneticVariation,umls:C0268242,AFFECTS
PITX1,0.722268036560749,Biomarker; GeneticVariation,umls:C0009081,AFFECTS
UBR1,0.722268036560749,Biomarker; GeneticVariation,umls:C0175692,AFFECTS
EHMT1,0.722268036560749,Biomarker; GeneticVariation,umls:C0795833,AFFECTS
BUB1B,0.721984531990656,Biomarker; GeneticVariation,umls:C1850343,AFFECTS
CA2,0.721984531990656,Biomarker; GeneticVariation,umls:C0345407,AFFECTS
MMP2,0.721984531990656,Biomarker; GeneticVariation,umls:C1850155,AFFECTS
ENPP1,0.721984531990656,Biomarker; GeneticVariation,umls:C1859727,AFFECTS
ERCC5,0.721984531990656,Biomarker; GeneticVariation,umls:C0268141,AFFECTS
LIG4,0.721984531990656,Biomarker; GeneticVariation,umls:C1847827,AFFECTS
ALDH5A1,0.721984531990656,Biomarker; GeneticVariation,umls:C0268631,AFFECTS
MC2R,0.721984531990656,Biomarker; GeneticVariation,umls:C1859974,AFFECTS
PLOD1,0.721984531990656,Biomarker; GeneticVariation,umls:C0268342,AFFECTS
IHH,0.721984531990656,Biomarker; GeneticVariation,umls:C1862151,AFFECTS
DLL3,0.721984531990656,Biomarker; GeneticVariation,umls:C0265343,AFFECTS
EDAR,0.721984531990656,Biomarker; GeneticVariation,umls:C0406702,AFFECTS
PEX7,0.721701027420562,Biomarker; GeneticVariation,umls:C1859133,AFFECTS
COL2A1,0.721701027420562,Biomarker; GeneticVariation,umls:C0220685,AFFECTS
UMOD,0.721701027420562,Biomarker; GeneticVariation,umls:C1859040,AFFECTS
EPCAM,0.721701027420562,Biomarker; GeneticVariation,umls:C2750737,AFFECTS
FGFR2,0.721701027420562,Biomarker; GeneticVariation,umls:C1852406,AFFECTS
HNF4A,0.721701027420562,Biomarker; GeneticVariation,umls:C1852093,AFFECTS
GDF5,0.721701027420562,Biomarker; GeneticVariation,umls:C0265260,AFFECTS
ROR2,0.721701027420562,Biomarker; GeneticVariation,umls:C1849334,AFFECTS
MTMR2,0.721701027420562,Biomarker; GeneticVariation,umls:C1832399,AFFECTS
SCN5A,0.721701027420562,Biomarker; GeneticVariation,umls:C1879286,AFFECTS
DYM,0.721701027420562,Biomarker; GeneticVariation,umls:C0265286,AFFECTS
SH3TC2,0.721701027420562,Biomarker; GeneticVariation,umls:C1866636,AFFECTS
ZFPM2,0.721701027420562,Biomarker; GeneticVariation,umls:C0039685,AFFECTS
TFAP2B,0.721701027420562,Biomarker; GeneticVariation,umls:C1868570,AFFECTS
FIG4,0.721701027420562,Biomarker; GeneticVariation,umls:C1970011,AFFECTS
ATP6V0A4,0.721701027420562,Biomarker; GeneticVariation,umls:C1864498,AFFECTS
ANKH,0.721701027420562,Biomarker; GeneticVariation,umls:C1852502,AFFECTS
SLC40A1,0.721701027420562,Biomarker; GeneticVariation,umls:C1853733,AFFECTS
MITF,0.721417522850468,Biomarker; GeneticVariation,umls:C0391816,AFFECTS
USH2A,0.721417522850468,Biomarker; GeneticVariation,umls:C1848634,AFFECTS
CLN5,0.721417522850468,Biomarker; GeneticVariation,umls:C1850442,AFFECTS
MPO,0.721417522850468,Biomarker; GeneticVariation,umls:C0398595,AFFECTS
KRT4,0.721417522850468,Biomarker; GeneticVariation,umls:C1721005,AFFECTS
COL5A1,0.721417522850468,Biomarker; GeneticVariation,umls:C0268335,AFFECTS
GDF5,0.721417522850468,Biomarker; GeneticVariation,umls:C1832702,AFFECTS
ACADVL,0.721417522850468,Biomarker; GeneticVariation,umls:C0342784,AFFECTS
SCNN1B,0.721417522850468,Biomarker; GeneticVariation,umls:C0221043,AFFECTS
SLC27A4,0.721417522850468,Biomarker; GeneticVariation,umls:C1837610,AFFECTS
NBEAL2,0.721417522850468,Biomarker; GeneticVariation,umls:C0272302,AFFECTS
FBLN5,0.721417522850468,Biomarker; GeneticVariation,umls:C0268351,AFFECTS
BCS1L,0.721417522850468,Biomarker; GeneticVariation,umls:C1864002,AFFECTS
SH3PXD2B,0.721134018280375,Biomarker; GeneticVariation,umls:C1855305,AFFECTS
PNP,0.721134018280375,Biomarker; GeneticVariation,umls:C0268125,AFFECTS
HSPB1,0.721134018280375,Biomarker; GeneticVariation,umls:C1847823,AFFECTS
COL1A2,0.721134018280375,Biomarker; GeneticVariation,umls:C0268362,AFFECTS
SERPINA6,0.721134018280375,Biomarker; GeneticVariation,umls:C1852529,AFFECTS
COL11A1,0.721134018280375,Biomarker; GeneticVariation,umls:C1858084,AFFECTS
NPR2,0.721134018280375,Biomarker; GeneticVariation,umls:C1864356,AFFECTS
COL5A1,0.721134018280375,Biomarker; GeneticVariation,umls:C0268336,AFFECTS
GARS,0.721134018280375,Biomarker; GeneticVariation,umls:C1832274,AFFECTS
TSC2,0.721134018280375,Biomarker; GeneticVariation,umls:C1860707,AFFECTS
NPC2,0.721134018280375,Biomarker; GeneticVariation,umls:C1843366,AFFECTS
KIF7,0.721134018280375,Biomarker; GeneticVariation,umls:C0796147,AFFECTS
NAGS,0.721134018280375,Biomarker; GeneticVariation,umls:C0268543,AFFECTS
MCPH1,0.721134018280375,Biomarker; GeneticVariation,umls:C1855081,AFFECTS
SERPINI1,0.721134018280375,Biomarker; GeneticVariation,umls:C1858680,AFFECTS
MYOT,0.721134018280375,Biomarker; GeneticVariation,umls:C1836607,AFFECTS
TRPS1,0.721134018280375,Biomarker; GeneticVariation,umls:C0432233,AFFECTS
CASQ2,0.720850513710281,Biomarker; GeneticVariation,umls:C2677794,AFFECTS
CPS1,0.720850513710281,Biomarker; GeneticVariation,umls:C0751753,AFFECTS
AKT2,0.720850513710281,Biomarker; GeneticVariation,umls:C0011860,AFFECTS
GUCY2D,0.720850513710281,Biomarker; GeneticVariation,umls:C1866293,AFFECTS
