diseaseId:ID,name,:LABEL
umls:C0002514,Amino Acid Metabolism; Inborn Errors,Disease
umls:C0002622,Amnesia,Disease
umls:C0002624,Amnesia; Retrograde,Disease
umls:C0002726,Amyloidosis,Disease
umls:C0002736,Amyotrophic Lateral Sclerosis,Disease
umls:C0002768,Pain Insensitivity; Congenital,Disease
umls:C0002792,Anaphylaxis,Disease
umls:C0002793,Anaplasia,Disease
umls:C0002871,Anemia,Disease
umls:C0002874,Anemia; Aplastic,Disease
umls:C0002876,Anemia; Dyserythropoietic; Congenital,Disease
umls:C0002878,Anemia; Hemolytic,Disease
umls:C0002880,Anemia; Hemolytic; Autoimmune,Disease
umls:C0002881,Anemia; Hemolytic; Congenital,Disease
umls:C0002882,Anemia; Hemolytic; Congenital Nonspherocytic,Disease
umls:C0002888,Anemia; Megaloblastic,Disease
umls:C0002891,Anemia; Neonatal,Disease
umls:C0002893,Anemia; Refractory,Disease
umls:C0002895,Anemia; Sickle Cell,Disease
umls:C0002896,Anemia; Sideroblastic,Disease
umls:C0002902,Anencephaly,Disease
umls:C0002938,Aneuploidy,Disease
umls:C0002940,Aneurysm,Disease
umls:C0002949,Aneurysm; Dissecting,Disease
umls:C0002962,Angina Pectoris,Disease
umls:C0002965,Angina; Unstable,Disease
umls:C0002985,Angiokeratoma,Disease
umls:C0002986,Fabry Disease,Disease
umls:C0002994,Angioedema,Disease
umls:C0003076,Aniridia,Disease
umls:C0003081,Anisometropia,Disease
umls:C0003090,Ankylosis,Disease
umls:C0003119,Anophthalmos,Disease
umls:C0003123,Anorexia,Disease
umls:C0003125,Anorexia Nervosa,Disease
umls:C0003128,Anovulation,Disease
umls:C0003130,Anoxia,Disease
umls:C0003165,Anthracosis,Disease
umls:C0003431,Antisocial Personality Disorder,Disease
umls:C0003460,Anuria,Disease
umls:C0003463,Anus Neoplasms,Disease
umls:C0003466,Anus; Imperforate,Disease
umls:C0003469,Anxiety Disorders,Disease
umls:C0003486,Aortic Aneurysm,Disease
umls:C0003493,Aortic Diseases,Disease
umls:C0003496,Aortic Rupture,Disease
umls:C0003499,Aortic Stenosis; Supravalvular,Disease
umls:C0003500,Aortic Stenosis; Subvalvular,Disease
umls:C0003504,Aortic Valve Insufficiency,Disease
umls:C0003537,Aphasia,Disease
umls:C0003578,Apnea,Disease
umls:C0003615,Appendicitis,Disease
umls:C0003635,Apraxias,Disease
umls:C0003706,Arachnodactyly,Disease
umls:C0003756,Arenaviridae Infections,Disease
umls:C0003803,Arnold-Chiari Malformation,Disease
umls:C0003811,Arrhythmias; Cardiac,Disease
umls:C0003838,Arterial Occlusive Diseases,Disease
umls:C0003850,Arteriosclerosis,Disease
umls:C0003857,Arteriovenous Malformations,Disease
umls:C0003860,Arteritis,Disease
umls:C0003862,Arthralgia,Disease
umls:C0003864,Arthritis,Disease
umls:C0003868,Arthritis; Gouty,Disease
umls:C0003869,Arthritis; Infectious,Disease
umls:C0003872,Arthritis; Psoriatic,Disease
umls:C0003873,Arthritis; Rheumatoid,Disease
umls:C0003886,Arthrogryposis,Disease
umls:C0003949,Asbestosis,Disease
umls:C0003962,Ascites,Disease
umls:C0004044,Asphyxia,Disease
umls:C0004045,Asphyxia Neonatorum,Disease
umls:C0004093,Asthenia,Disease
umls:C0004096,Asthma,Disease
umls:C0004114,Astrocytoma,Disease
umls:C0004134,Ataxia,Disease
umls:C0004135,Ataxia Telangiectasia,Disease
umls:C0004153,Atherosclerosis,Disease
umls:C0004238,Atrial Fibrillation,Disease
umls:C0004245,Atrioventricular Block,Disease
umls:C0004310,Auditory Perceptual Disorders,Disease
umls:C0004352,Autistic Disorder,Disease
umls:C0004364,Autoimmune Diseases,Disease
umls:C0004509,Azoospermia,Disease
umls:C0004604,Back Pain,Disease
umls:C0004610,Bacteremia,Disease
umls:C0004623,Bacterial Infections,Disease
umls:C0004698,Balkan Nephropathy,Disease
umls:C0004763,Barrett Esophagus,Disease
umls:C0004775,Bartter Syndrome,Disease
umls:C0004779,Basal Cell Nevus Syndrome,Disease
umls:C0004782,Basal Ganglia Diseases,Disease
umls:C0004903,Beckwith-Wiedemann Syndrome,Disease
umls:C0004936,Mental Disorders,Disease
umls:C0004943,Behcet Syndrome,Disease
umls:C0005129,Bernard-Soulier Syndrome,Disease
umls:C0005138,Berylliosis,Disease
umls:C0005283,beta-Thalassemia,Disease
umls:C0005395,Bile Duct Diseases,Disease
umls:C0005396,Bile Duct Neoplasms,Disease
umls:C0005411,Biliary Atresia,Disease
umls:C0005586,Bipolar Disorder,Disease
umls:C0005612,Birth Weight,Disease
umls:C0005683,Urinary Bladder Calculi,Disease
umls:C0005684,Malignant neoplasm of bladder,Disease
umls:C0005686,Urinary Bladder Diseases,Disease
umls:C0005694,Urinary Bladder Neck Obstruction,Disease
umls:C0005695,Urinary Bladder Neoplasms,Disease
umls:C0005697,Urinary Bladder; Neurogenic,Disease
umls:C0005699,Blast Crisis,Disease
umls:C0005747,Blepharospasm,Disease
umls:C0005758,Blister,Disease
umls:C0005779,Blood Coagulation Disorders,Disease
umls:C0005818,Blood Platelet Disorders,Disease
umls:C0005859,Bloom Syndrome,Disease
umls:C0005910,Body Weight,Disease
umls:C0005940,Bone Diseases,Disease
umls:C0005941,Bone Diseases; Developmental,Disease
umls:C0005942,Bone Diseases; Endocrine,Disease
umls:C0005944,Bone Diseases; Metabolic,Disease
umls:C0005956,Bone Marrow Diseases,Disease
umls:C0005967,Bone Neoplasms,Disease
umls:C0005974,Bone Resorption,Disease
umls:C0006079,Bowen's Disease,Disease
umls:C0006111,Brain Diseases,Disease
umls:C0006112,Brain Diseases; Metabolic,Disease
umls:C0006118,Brain Neoplasms,Disease
umls:C0006142,Malignant neoplasm breast,Disease
umls:C0006145,Breast Diseases,Disease
umls:C0006261,Bronchial Diseases,Disease
umls:C0006267,Bronchiectasis,Disease
umls:C0006272,Bronchiolitis Obliterans,Disease
umls:C0006287,Bronchopulmonary Dysplasia,Disease
umls:C0006413,Burkitt Lymphoma,Disease
umls:C0006434,Burns,Disease
umls:C0006435,Burns; Chemical,Disease
umls:C0006625,Cachexia,Disease
umls:C0006635,Cadmium Poisoning,Disease
umls:C0006663,Calcinosis,Disease
umls:C0006840,Candidiasis,Disease
umls:C0006845,Candidiasis; Chronic Mucocutaneous,Disease
umls:C0006849,Candidiasis; Oral,Disease
umls:C0007001,Carbohydrate Metabolism; Inborn Errors,Disease
umls:C0007097,Carcinoma,Disease
umls:C0007099,Carcinoma in Situ,Disease
umls:C0007117,Carcinoma; Basal Cell,Disease
umls:C0007124,Carcinoma; Intraductal; Noninfiltrating,Disease
umls:C0007131,Carcinoma; Non-Small-Cell Lung,Disease
umls:C0007134,Carcinoma; Renal Cell,Disease
umls:C0007137,Carcinoma; Squamous Cell,Disease
umls:C0007138,Carcinoma; Transitional Cell,Disease
umls:C0007140,Carcinosarcoma,Disease
umls:C0007177,Cardiac Tamponade,Disease
umls:C0007192,Cardiomyopathy; Alcoholic,Disease
umls:C0007193,Cardiomyopathy; Dilated,Disease
umls:C0007194,Cardiomyopathy; Hypertrophic,Disease
umls:C0007196,Cardiomyopathy; Restrictive,Disease
umls:C0007222,Cardiovascular Diseases,Disease
umls:C0007273,Carotid Artery Diseases,Disease
umls:C0007274,Carotid Artery Thrombosis,Disease
umls:C0007279,Carotid Body Tumor,Disease
umls:C0007282,Carotid Stenosis,Disease
umls:C0007286,Carpal Tunnel Syndrome,Disease
umls:C0007302,Cartilage Diseases,Disease
umls:C0007370,Catalepsy,Disease
umls:C0007398,Catatonia,Disease
umls:C0007528,Cecal Neoplasms,Disease
umls:C0007570,Celiac Disease,Disease
umls:C0007621,Cell Transformation; Neoplastic,Disease
umls:C0007642,Cellulitis,Disease
umls:C0007682,Central Nervous System Diseases,Disease
umls:C0007758,Cerebellar Ataxia,Disease
umls:C0007760,Cerebellar Diseases,Disease
umls:C0007766,Intracranial Aneurysm,Disease
umls:C0007772,Intracranial Arteriovenous Malformations,Disease
umls:C0007781,Intracranial Embolism and Thrombosis,Disease
umls:C0007785,Cerebral Infarction,Disease
umls:C0007786,Brain Ischemia,Disease
umls:C0007787,Ischemic Attack; Transient,Disease
umls:C0007789,Cerebral Palsy,Disease
umls:C0007795,Diffuse Cerebral Sclerosis of Schilder,Disease
umls:C0007820,Cerebrovascular Disorders,Disease
umls:C0007873,Uterine Cervical Neoplasms,Disease
umls:C0007959,Charcot-Marie-Tooth Disease,Disease
umls:C0007965,Chediak-Higashi Syndrome,Disease
umls:C0008029,Cherubism,Disease
umls:C0008031,Chest Pain,Disease
umls:C0008073,Developmental Disabilities,Disease
umls:C0008074,Child Development Disorders; Pervasive,Disease
umls:C0008149,Chlamydia Infections,Disease
umls:C0008311,Cholangitis,Disease
umls:C0008313,Cholangitis; Sclerosing,Disease
umls:C0008325,Cholecystitis,Disease
umls:C0008350,Cholelithiasis,Disease
umls:C0008370,Cholestasis,Disease
umls:C0008372,Cholestasis; Intrahepatic,Disease
umls:C0008384,Cholesterol Ester Storage Disease,Disease
umls:C0008441,Chondroblastoma,Disease
umls:C0008479,Chondrosarcoma,Disease
umls:C0008487,Chordoma,Disease
umls:C0008489,Chorea,Disease
umls:C0008495,Chorioamnionitis,Disease
umls:C0008525,Choroideremia,Disease
umls:C0008533,Hemophilia B,Disease
umls:C0008625,Chromosome Aberrations,Disease
umls:C0008626,Chromosome Disorders,Disease
umls:C0008677,Bronchitis; Chronic,Disease
umls:C0008780,Ciliary Motility Disorders,Disease
umls:C0008924,Cleft Lip,Disease
umls:C0008925,Cleft Palate,Disease
umls:C0008928,Cleidocranial Dysplasia,Disease
umls:C0009081,Clubfoot,Disease
umls:C0009197,Cochlear Diseases,Disease
umls:C0009207,Cockayne Syndrome,Disease
umls:C0009241,Cognition Disorders,Disease
umls:C0009319,Colitis,Disease
umls:C0009324,Colitis; Ulcerative,Disease
umls:C0009363,Coloboma,Disease
umls:C0009375,Colonic Neoplasms,Disease
umls:C0009376,Colonic Polyps,Disease
umls:C0009398,Color Vision Defects,Disease
umls:C0009404,Colorectal Neoplasms,Disease
umls:C0009405,Colorectal Neoplasms; Hereditary Nonpolyposis,Disease
umls:C0009421,Coma,Disease
umls:C0009447,Common Variable Immunodeficiency,Disease
umls:C0009492,Compartment Syndromes,Disease
umls:C0009691,Congenital cataract,Disease
umls:C0009759,Conjunctival Diseases,Disease
umls:C0009782,Connective Tissue Diseases,Disease
umls:C0009806,Constipation,Disease
umls:C0009917,Contracture,Disease
umls:C0009952,Seizures; Febrile,Disease
umls:C0010034,Corneal Diseases,Disease
umls:C0010035,Corneal Dystrophies; Hereditary,Disease
umls:C0010038,Corneal Opacity,Disease
umls:C0010043,Corneal Ulcer,Disease
umls:C0010051,Coronary Aneurysm,Disease
umls:C0010068,Coronary Disease,Disease
umls:C0010072,Coronary Thrombosis,Disease
umls:C0010073,Coronary Vasospasm,Disease
umls:C0010074,Coronary Vessel Anomalies,Disease
umls:C0010078,Coronaviridae Infections,Disease
umls:C0010200,Cough,Disease
umls:C0010246,Coxsackievirus Infections,Disease
umls:C0010273,Craniofacial Dysostosis,Disease
umls:C0010276,Craniopharyngioma,Disease
umls:C0010278,Craniosynostoses,Disease
umls:C0010308,Congenital Hypothyroidism,Disease
umls:C0010314,Cri-du-Chat Syndrome,Disease
umls:C0010324,Crigler-Najjar Syndrome,Disease
umls:C0010340,Critical Illness,Disease
umls:C0010346,Crohn Disease,Disease
umls:C0010417,Cryptorchidism,Disease
umls:C0010481,Cushing Syndrome,Disease
umls:C0010495,Cutis Laxa,Disease
umls:C0010520,Cyanosis,Disease
umls:C0010606,Carcinoma; Adenoid Cystic,Disease
umls:C0010674,Cystic Fibrosis,Disease
umls:C0010691,Cystinuria,Disease
umls:C0010692,Cystitis,Disease
umls:C0010709,Cysts,Disease
umls:C0010823,Cytomegalovirus Infections,Disease
umls:C0010964,Dandy-Walker Syndrome,Disease
umls:C0011053,Deafness,Disease
umls:C0011057,Hearing Loss; Sudden,Disease
umls:C0011065,Death,Disease
umls:C0011071,Death; Sudden,Disease
umls:C0011156,Deficiency Diseases,Disease
umls:C0011168,Deglutition Disorders,Disease
umls:C0011175,Dehydration,Disease
umls:C0011195,dejerine-sottas disease,Disease
umls:C0011269,Dementia; Vascular,Disease
umls:C0011303,Demyelinating Diseases,Disease
umls:C0011311,Dengue,Disease
umls:C0011436,Dentinogenesis Imperfecta,Disease
umls:C0011581,Depressive Disorder,Disease
umls:C0011603,Dermatitis,Disease
umls:C0011609,Drug Eruptions,Disease
umls:C0011615,Dermatitis; Atopic,Disease
umls:C0011616,Dermatitis; Contact,Disease
umls:C0011633,Dermatomyositis,Disease
umls:C0011813,Dextrocardia,Disease
umls:C0011848,Diabetes Insipidus,Disease
umls:C0011849,Diabetes Mellitus,Disease
umls:C0011853,Diabetes Mellitus; Experimental,Disease
umls:C0011854,Diabetes Mellitus; Type 1,Disease
umls:C0011860,Diabetes Mellitus; Type 2,Disease
umls:C0011875,Diabetic Angiopathies,Disease
umls:C0011880,Diabetic Ketoacidosis,Disease
umls:C0011881,Diabetic Nephropathies,Disease
umls:C0011882,Diabetic Neuropathies,Disease
umls:C0011884,Diabetic Retinopathy,Disease
umls:C0011989,Camurati-Engelmann Syndrome,Disease
umls:C0011991,Diarrhea,Disease
umls:C0011993,Vipoma,Disease
umls:C0012236,DiGeorge Syndrome,Disease
umls:C0012243,Digestive System Neoplasms,Disease
umls:C0012644,Disease Models; Animal,Disease
umls:C0012655,Disease Susceptibility,Disease
umls:C0012715,Iron Metabolism Disorders,Disease
umls:C0012739,Disseminated Intravascular Coagulation,Disease
umls:C0012979,Dog Diseases,Disease
umls:C0013069,Double Outlet Right Ventricle,Disease
umls:C0013080,Down Syndrome,Disease
umls:C0013182,Drug Hypersensitivity,Disease
umls:C0013238,Dry Eye Syndromes,Disease
umls:C0013261,Duane Retraction Syndrome,Disease
umls:C0013264,Muscular Dystrophy; Duchenne,Disease
umls:C0013274,Ductus Arteriosus; Patent,Disease
umls:C0013295,Duodenal Ulcer,Disease
umls:C0013312,Dupuytren Contracture,Disease
umls:C0013336,Dwarfism,Disease
umls:C0013338,Dwarfism; Pituitary,Disease
umls:C0013362,Dysarthria,Disease
umls:C0013364,Dysautonomia; Familial,Disease
umls:C0013374,Dysgammaglobulinemia,Disease
umls:C0013384,Dyskinesias,Disease
umls:C0013386,Dyskinesia; Drug-Induced,Disease
umls:C0013390,Dysmenorrhea,Disease
umls:C0013393,Dysostoses,Disease
umls:C0013404,Dyspnea,Disease
umls:C0013421,Dystonia,Disease
umls:C0013447,Ear Diseases,Disease
umls:C0013473,Eating Disorders,Disease
umls:C0013575,Ectodermal Dysplasia,Disease
umls:C0013581,Ectopia Lentis,Disease
umls:C0013595,Eczema,Disease
umls:C0013604,Edema,Disease
umls:C0013608,Edema; Cardiac,Disease
umls:C0013720,Ehlers-Danlos Syndrome,Disease
umls:C0013902,Elliptocytosis; Hereditary,Disease
umls:C0013903,Ellis-Van Creveld Syndrome,Disease
umls:C0013911,Emaciation,Disease
umls:C0013922,Embolism,Disease
umls:C0013990,Emphysema,Disease
umls:C0014008,Empty Sella Syndrome,Disease
umls:C0014038,Encephalitis,Disease
umls:C0014072,Encephalomyelitis; Autoimmune; Experimental,Disease
umls:C0014084,Enchondromatosis,Disease
umls:C0014130,Endocrine System Diseases,Disease
umls:C0014170,Endometrial Neoplasms,Disease
umls:C0014173,Endometrial Hyperplasia,Disease
umls:C0014175,Endometriosis,Disease
umls:C0014324,Entamoebiasis,Disease
umls:C0014356,Enterocolitis,Disease
umls:C0014378,Enterovirus Infections,Disease
umls:C0014457,Eosinophilia,Disease
umls:C0014474,Ependymoma,Disease
umls:C0014518,Toxic Epidermal Necrolysis,Disease
umls:C0014522,Epidermodysplasia Verruciformis,Disease
umls:C0014527,Epidermolysis Bullosa,Disease
umls:C0014544,Epilepsy,Disease
umls:C0014547,Epilepsies; Partial,Disease
umls:C0014548,Epilepsy; Generalized,Disease
umls:C0014549,Epilepsy; Tonic-Clonic,Disease
umls:C0014550,Epilepsies; Myoclonic,Disease
umls:C0014553,Epilepsy; Absence,Disease
umls:C0014556,Epilepsy; Temporal Lobe,Disease
umls:C0014742,Erythema Multiforme,Disease
umls:C0014804,Erythromelalgia,Disease
umls:C0014805,ERYTHERMALGIA; PRIMARY,Disease
umls:C0014836,Escherichia coli Infections,Disease
umls:C0014848,Esophageal Achalasia,Disease
umls:C0014849,Esophageal and Gastric Varices,Disease
umls:C0014852,Esophageal Diseases,Disease
umls:C0014859,Esophageal Neoplasms,Disease
umls:C0014866,Esophageal Stenosis,Disease
umls:C0014868,Esophagitis,Disease
umls:C0014869,Esophagitis; Peptic,Disease
umls:C0015230,Exanthema,Disease
umls:C0015306,Exostoses; Multiple Hereditary,Disease
umls:C0015379,Extravasation of Diagnostic and Therapeutic Materials,Disease
umls:C0015393,Eye Abnormalities,Disease
umls:C0015397,Eye Diseases,Disease
umls:C0015398,Eye Diseases; Hereditary,Disease
umls:C0015423,Eyelid Diseases,Disease
umls:C0015456,Facial Dermatoses,Disease
umls:C0015469,Facial Paralysis,Disease
umls:C0015499,Factor V Deficiency,Disease
umls:C0015503,Factor VII Deficiency,Disease
umls:C0015519,Factor X Deficiency,Disease
umls:C0015523,Factor XI Deficiency,Disease
umls:C0015526,Factor XII Deficiency,Disease
umls:C0015530,Factor XIII Deficiency,Disease
umls:C0015624,Fanconi Syndrome,Disease
umls:C0015625,Fanconi Anemia,Disease
umls:C0015644,Fasciculation,Disease
umls:C0015672,Fatigue,Disease
umls:C0015695,Fatty Liver,Disease
umls:C0015696,Fatty Liver; Alcoholic,Disease
umls:C0015702,Favism,Disease
umls:C0015799,Feminization,Disease
umls:C0015802,Femoral Fractures,Disease
umls:C0015814,Femur Head Necrosis,Disease
umls:C0015927,Fetal Death,Disease
umls:C0015929,Fetal Diseases,Disease
umls:C0015930,Fetal Distress,Disease
umls:C0015934,Fetal Growth Retardation,Disease
umls:C0015951,Fetal Resorption,Disease
umls:C0015967,Fever,Disease
umls:C0016037,Fibrodysplasia Ossificans Progressiva,Disease
umls:C0016045,Fibroma,Disease
umls:C0016057,Fibrosarcoma,Disease
umls:C0016059,Fibrosis,Disease
umls:C0016063,Fibrous Dysplasia of Bone,Disease
umls:C0016065,Fibrous Dysplasia; Polyostotic,Disease
umls:C0016382,Flushing,Disease
umls:C0016395,Focal Dermal Hypoplasia,Disease
umls:C0016412,Folic Acid Deficiency,Disease
umls:C0016427,Follicular Cyst,Disease
umls:C0016470,Food Hypersensitivity,Disease
umls:C0016508,Foot Deformities; Congenital,Disease
umls:C0016627,Influenza in Birds,Disease
umls:C0016658,Fractures; Bone,Disease
umls:C0016659,Fractures; Closed,Disease
umls:C0016667,Fragile X Syndrome,Disease
umls:C0016719,Friedreich Ataxia,Disease
umls:C0016751,Fructose Intolerance,Disease
umls:C0016756,Fructose-1;6-Diphosphatase Deficiency,Disease
umls:C0016788,Fucosidosis,Disease
umls:C0016952,Galactosemias,Disease
umls:C0016978,Gallbladder Neoplasms,Disease
umls:C0016995,Gambling,Disease
umls:C0017097,Gardner Syndrome,Disease
umls:C0017150,Gastrinoma,Disease
umls:C0017154,Gastritis; Atrophic,Disease
umls:C0017160,Gastroenteritis,Disease
umls:C0017168,Gastroesophageal Reflux,Disease
umls:C0017178,Gastrointestinal Diseases,Disease
umls:C0017181,Gastrointestinal Hemorrhage,Disease
umls:C0017185,Gastrointestinal Neoplasms,Disease
umls:C0017205,Gaucher Disease,Disease
umls:C0017416,Genital Neoplasms; Female,Disease
umls:C0017495,Gerstmann-Straussler-Scheinker Disease,Disease
umls:C0017531,Giant Lymph Node Hyperplasia,Disease
umls:C0017551,Gilbert Disease,Disease
umls:C0017566,Gingival Hyperplasia,Disease
umls:C0017567,Gingival Hypertrophy,Disease
umls:C0017601,Glaucoma,Disease
umls:C0017605,Glaucoma; Angle-Closure,Disease
umls:C0017612,Glaucoma; Open-Angle,Disease
umls:C0017636,Glioblastoma,Disease
umls:C0017638,Glioma,Disease
umls:C0017639,Gliosis,Disease
umls:C0017658,Glomerulonephritis,Disease
umls:C0017661,Glomerulonephritis; IGA,Disease
umls:C0017662,Glomerulonephritis; Membranoproliferative,Disease
umls:C0017665,Glomerulonephritis; Membranous,Disease
umls:C0017668,Glomerulosclerosis; Focal Segmental,Disease
umls:C0017689,Glucagonoma,Disease
umls:C0017919,Glycogen Storage Disease,Disease
umls:C0017920,Glycogen Storage Disease Type I,Disease
umls:C0017921,Glycogen Storage Disease Type II,Disease
umls:C0017922,Glycogen Storage Disease Type III,Disease
umls:C0017923,Glycogen Storage Disease Type IV,Disease
umls:C0017924,Glycogen Storage Disease Type V,Disease
umls:C0017925,Glycogen Storage Disease Type VI,Disease
umls:C0017926,Glycogen Storage Disease Type VII,Disease
umls:C0017927,Glycogen Storage Disease Type VIII,Disease
umls:C0017980,Glycosuria; Renal,Disease
umls:C0018021,Goiter,Disease
umls:C0018022,Goiter; Endemic,Disease
umls:C0018051,Gonadal Dysgenesis,Disease
umls:C0018054,Gonadal Dysgenesis; 46;XY,Disease
umls:C0018099,Gout,Disease
umls:C0018128,Graft Occlusion; Vascular,Disease
umls:C0018133,Graft vs Host Disease,Disease
umls:C0018193,Granuloma; Foreign-Body,Disease
umls:C0018199,Granuloma; Plasma Cell,Disease
umls:C0018200,Granuloma; Respiratory Tract,Disease
umls:C0018203,Granulomatous Disease; Chronic,Disease
umls:C0018213,Graves Disease,Disease
umls:C0018273,Growth Disorders,Disease
umls:C0018418,Gynecomastia,Disease
umls:C0018425,Gyrate Atrophy,Disease
umls:C0018500,Hair Diseases,Disease
umls:C0018522,Hallermann's Syndrome,Disease
umls:C0018523,Pantothenate Kinase-Associated Neurodegeneration,Disease
umls:C0018552,Hamartoma,Disease
umls:C0018553,Hamartoma Syndrome; Multiple,Disease
umls:C0018566,Hand Deformities; Congenital,Disease
umls:C0018609,Hartnup Disease,Disease
umls:C0018621,Rhinitis; Allergic; Seasonal,Disease
umls:C0018671,Head and Neck Neoplasms,Disease
umls:C0018674,Craniocerebral Trauma,Disease
umls:C0018681,Headache,Disease
umls:C0018777,Hearing Loss; Conductive,Disease
umls:C0018781,Hearing Loss; Noise-Induced,Disease
umls:C0018784,Hearing Loss; Sensorineural,Disease
umls:C0018790,Heart Arrest,Disease
umls:C0018794,Heart Block,Disease
umls:C0018798,Heart Defects; Congenital,Disease
umls:C0018799,Heart Diseases,Disease
umls:C0018800,Cardiomegaly,Disease
umls:C0018801,Heart Failure,Disease
umls:C0018805,Heart Injuries,Disease
umls:C0018814,Heart Rupture; Post-Infarction,Disease
umls:C0018816,Heart Septal Defects,Disease
umls:C0018817,Heart Septal Defects; Atrial,Disease
umls:C0018818,Heart Septal Defects; Ventricular,Disease
umls:C0018824,Heart Valve Diseases,Disease
umls:C0018834,Heartburn,Disease
umls:C0018843,Heat Stroke,Disease
umls:C0018916,Hemangioma,Disease
umls:C0018923,Hemangiosarcoma,Disease
umls:C0018939,Hematologic Diseases,Disease
umls:C0018944,Hematoma,Disease
umls:C0018946,Hematoma; Subdural,Disease
umls:C0018965,Hematuria,Disease
umls:C0018991,Hemiplegia,Disease
umls:C0018995,Hemochromatosis,Disease
umls:C0019024,Hemoglobin E,Disease
umls:C0019045,Hemoglobinopathies,Disease
umls:C0019050,Hemoglobinuria; Paroxysmal,Disease
umls:C0019054,Hemolysis,Disease
umls:C0019061,Hemolytic-Uremic Syndrome,Disease
umls:C0019069,Hemophilia A,Disease
umls:C0019080,Hemorrhage,Disease
umls:C0019087,Hemorrhagic Disorders,Disease
umls:C0019100,Severe Dengue,Disease
umls:C0019112,Hemorrhoids,Disease
umls:C0019151,Hepatic Encephalopathy,Disease
umls:C0019156,Hepatic Veno-Occlusive Disease,Disease
umls:C0019158,Hepatitis,Disease
umls:C0019163,Hepatitis B,Disease
umls:C0019187,Hepatitis; Alcoholic,Disease
umls:C0019188,Hepatitis; Animal,Disease
umls:C0019189,Hepatitis; Chronic,Disease
umls:C0019191,Hepatitis; Infectious Canine,Disease
umls:C0019196,Hepatitis C,Disease
umls:C0019202,Hepatolenticular Degeneration,Disease
umls:C0019209,Hepatomegaly,Disease
umls:C0019212,Hepatorenal Syndrome,Disease
umls:C0019243,Angioedemas; Hereditary,Disease
umls:C0019250,Afibrinogenemia congenital,Disease
umls:C0019284,Hernia; Diaphragmatic,Disease
umls:C0019294,Hernia; Inguinal,Disease
umls:C0019326,Hernia; Ventral,Disease
umls:C0019337,Heroin Dependence,Disease
umls:C0019372,Herpesviridae Infections,Disease
umls:C0019557,Hip Fractures,Disease
umls:C0019562,von Hippel-Lindau Disease,Disease
umls:C0019569,Hirschsprung Disease,Disease
umls:C0019572,Hirsutism,Disease
umls:C0019618,Histiocytosis,Disease
umls:C0019625,Histiocytosis; Sinus,Disease
umls:C0019693,HIV Infections,Disease
umls:C0019699,HIV Seropositivity,Disease
umls:C0019829,Hodgkin Disease,Disease
umls:C0019880,Homocystinuria,Disease
umls:C0020071,Acrodystrophic neuropathy,Disease
umls:C0020074,INSENSITIVITY TO PAIN; CONGENITAL; WITH ANHIDROSIS,Disease
umls:C0020075,NEUROPATHY; HEREDITARY SENSORY AND AUTONOMIC; TYPE V,Disease
umls:C0020179,Huntington Disease,Disease
umls:C0020217,Hydatidiform Mole,Disease
umls:C0020224,Polyhydramnios,Disease
umls:C0020255,Hydrocephalus,Disease
umls:C0020295,Hydronephrosis,Disease
